,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
549,2020-12-15,222263.0906797052,218240.6035505573,220668.92650469881,221468.34698969746,223031.37160017263,-2811.0373652218136,-2811.0373652218136,-2811.0373652218136,-2811.0373652218136,-2811.0373652218136,-2811.0373652218136,0.0,0.0,0.0,219452.05331448338
550,2020-12-16,222292.54016773077,217986.31216124012,220450.99068884496,221493.89704615838,223068.06330865299,-2974.6752880426607,-2974.6752880426607,-2974.6752880426607,-2974.6752880426607,-2974.6752880426607,-2974.6752880426607,0.0,0.0,0.0,219317.8648796881
551,2020-12-17,222321.98965575633,217954.00903272597,220470.7824911504,221517.8661103436,223104.73761379573,-3091.1217942292606,-3091.1217942292606,-3091.1217942292606,-3091.1217942292606,-3091.1217942292606,-3091.1217942292606,0.0,0.0,0.0,219230.86786152708
552,2020-12-18,222351.43914378187,217837.85623975247,220458.1728376526,221529.43171386688,223141.27571070523,-3155.437984982593,-3155.437984982593,-3155.437984982593,-3155.437984982593,-3155.437984982593,-3155.437984982593,0.0,0.0,0.0,219196.00115879928
553,2020-12-19,222380.88863180738,217800.71516433437,220442.87294123071,221540.99731739014,223177.81380761458,-3164.1115837711295,-3164.1115837711295,-3164.1115837711295,-3164.1115837711295,-3164.1115837711295,-3164.1115837711295,0.0,0.0,0.0,219216.77704803625
554,2020-12-20,222410.33811983294,218039.4647950777,220483.45289286936,221563.69920564286,223211.37816553732,-3115.182586651144,-3115.182586651144,-3115.182586651144,-3115.182586651144,-3115.182586651144,-3115.182586651144,0.0,0.0,0.0,219295.1555331818
555,2020-12-21,222439.78760785845,218252.88470741326,220602.48466109586,221589.06619679875,223244.34558928563,-3008.324863626825,-3008.324863626825,-3008.324863626825,-3008.324863626825,-3008.324863626825,-3008.324863626825,0.0,0.0,0.0,219431.46274423163
556,2020-12-22,222469.23709588402,218401.86968719374,220884.01409825904,221615.0446423382,223277.20649235736,-2844.88072696616,-2844.88072696616,-2844.88072696616,-2844.88072696616,-2844.88072696616,-2844.88072696616,0.0,0.0,0.0,219624.35636891786
557,2020-12-23,222498.68658390956,218631.8925846423,221135.01741251792,221641.02308787766,223314.77755148368,-2627.846823791611,-2627.846823791611,-2627.846823791611,-2627.846823791611,-2627.846823791611,-2627.846823791611,0.0,0.0,0.0,219870.83976011793
558,2020-12-24,222528.13607193512,218920.854657361,221355.20436013828,221667.00153341715,223352.46662866473,-2361.811114645782,-2361.811114645782,-2361.811114645782,-2361.811114645782,-2361.811114645782,-2361.811114645782,0.0,0.0,0.0,220166.32495728933
559,2020-12-25,222557.58555996063,219260.480924836,221805.83788446742,221692.97997895666,223391.03795163502,-2052.8421264613057,-2052.8421264613057,-2052.8421264613057,-2052.8421264613057,-2052.8421264613057,-2052.8421264613057,0.0,0.0,0.0,220504.74343349933
